"","NombreCientifico","Ano","MT","MT_20","MT_40","MT_60"
"91","Mycteroperca",2014,0.918,1.1016,1.2852,1.4688
"92","Mycteroperca",2015,21.19048,25.428576,29.666672,33.904768
"93","Octopus",2000,0.149,0.1788,0.2086,0.2384
"94","Octopus",2005,142.7354,171.28248,199.82956,228.37664
"95","Octopus",2006,158.711,190.4532,222.1954,253.9376
"96","Octopus",2007,121.7588,146.11056,170.46232,194.81408
"97","Octopus",2008,247.8646,297.43752,347.01044,396.58336
"98","Octopus",2009,247.8407,297.40884,346.97698,396.54512
"99","Octopus",2010,124.1154,148.93848,173.76156,198.58464
"100","Octopus",2011,224.6151,269.53812,314.46114,359.38416
"101","Octopus",2012,232.7373,279.28476,325.83222,372.37968
"102","Octopus",2013,155.4348,186.52176,217.60872,248.69568
"103","Octopus",2014,155.08151,186.097812,217.114114,248.130416
"104","Octopus",2015,121.29631,145.555572,169.814834,194.074096
"105","Scarus",2005,0.1584,0.19008,0.22176,0.25344
"106","Scarus",2006,0.0913,0.10956,0.12782,0.14608
"107","Scarus",2007,0.11,0.132,0.154,0.176
"108","Scarus",2012,0.0803,0.09636,0.11242,0.12848
"109","Scarus",2013,0.018,0.0216,0.0252,0.0288
"110","Scarus",2015,0.1395,0.1674,0.1953,0.2232
